process_name,process_id,exchange_name,exchange_val,exchange_id,allocation_type
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Other, not specified, hardboard, at hardboard plant",0.016863406408094434,f83f9e69-b2b6-3ab7-992c-2d8f5a2962ea,CAUSAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Culled boards, wood fuel, at hardboard plant",0.03799887577290612,a7158692-bd20-375c-92b0-a3dfd5cd7e53,CAUSAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Bag house dust, wood fuel, at hardboard plant",0.05250140528386735,186f734c-6126-3e48-9c71-8a256225e000,CAUSAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Sander dust, wood fuel, at hardboard plant",0.021023046655424395,3390eff1-cd0f-3554-8226-c005bc295f84,CAUSAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Bag house dust, re-pulped, at hardboard plant",0.001573917931422147,be9e5186-3414-3d3b-9dfb-183db5b01b7a,CAUSAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Dry sawdust, wood fuel, at hardboard plant",0.006632939853850478,3dc18462-b043-3501-bcd4-d7c5063d238b,CAUSAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Hardboard, at hardboard plant",0.86341,9d6de29f-6d1d-3ca6-bbe5-26d8d2e0c6af,CAUSAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Hardboard, at hardboard plant",0.86341,9d6de29f-6d1d-3ca6-bbe5-26d8d2e0c6af,ECONOMIC_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Dry sawdust, wood fuel, at hardboard plant",0.006632939853850478,3dc18462-b043-3501-bcd4-d7c5063d238b,PHYSICAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Culled boards, wood fuel, at hardboard plant",0.03799887577290612,a7158692-bd20-375c-92b0-a3dfd5cd7e53,PHYSICAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Bag house dust, re-pulped, at hardboard plant",0.001573917931422147,be9e5186-3414-3d3b-9dfb-183db5b01b7a,PHYSICAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Culled boards, wood fuel, at hardboard plant",0.03799887577290612,a7158692-bd20-375c-92b0-a3dfd5cd7e53,ECONOMIC_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Bag house dust, wood fuel, at hardboard plant",0.05250140528386735,186f734c-6126-3e48-9c71-8a256225e000,PHYSICAL_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Other, not specified, hardboard, at hardboard plant",0.016863406408094434,f83f9e69-b2b6-3ab7-992c-2d8f5a2962ea,ECONOMIC_ALLOCATION
"Hardboard, at hardboard plant",ca1d1dfa-fd3c-35f1-bea7-a037251deb04,"Sander dust, wood fuel, at hardboard plant",0.021023046655424395,3390eff1-cd0f-3554-8226-c005bc295f84,PHYSICAL_ALLOCATION
