process_name,process_id,process_location,process_description,exchange_flow_name,exchange_flow_id,exchange_amount,exchange_unit,exchange_ecoinvent_type,_old_process_id,_old_exchange_flow_id,orig_process_id,orig_exchange_id,allocation_factor,allocation_type
"coal extraction and processing - Gulf Lignite, LIG, Surface",4d06d1cb-dab3-30a9-9ee7-e4b78beb28ba,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",4d06d1cb-dab3-30a9-9ee7-e4b78beb28ba.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,4d06d1cb-dab3-30a9-9ee7-e4b78beb28ba,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Rocky Mountain, BIT, Processing",81c7a7e7-a3fc-3ea7-91f3-542f9ea79cbf,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",81c7a7e7-a3fc-3ea7-91f3-542f9ea79cbf.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,81c7a7e7-a3fc-3ea7-91f3-542f9ea79cbf,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Northern Appalachia, BIT, Underground",9c4f9cfc-6e15-3ead-b864-cc08d6ca3200,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",9c4f9cfc-6e15-3ead-b864-cc08d6ca3200.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,9c4f9cfc-6e15-3ead-b864-cc08d6ca3200,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Powder River Basin, SUB, Surface",5a80ccb1-9140-3c58-8d26-87a6c7ff1c86,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",5a80ccb1-9140-3c58-8d26-87a6c7ff1c86.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,5a80ccb1-9140-3c58-8d26-87a6c7ff1c86,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Rocky Mountain, SUB, Surface",5fa7c944-1559-3e82-939d-25c518ee0c71,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",5fa7c944-1559-3e82-939d-25c518ee0c71.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,5fa7c944-1559-3e82-939d-25c518ee0c71,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Powder River Basin, SUB, Underground",83f8f627-ab9d-3e6a-9a11-bc1714ea93ab,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration. ","coal, processed, at mine",83f8f627-ab9d-3e6a-9a11-bc1714ea93ab.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,83f8f627-ab9d-3e6a-9a11-bc1714ea93ab,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Rocky Mountain, BIT, Underground",cba5ae73-c5e5-3f97-8601-1090cfbbb432,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",cba5ae73-c5e5-3f97-8601-1090cfbbb432.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,cba5ae73-c5e5-3f97-8601-1090cfbbb432,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Import, SUB, Surface",1bde0269-a0c6-3267-b63c-0eec21ae81af,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",1bde0269-a0c6-3267-b63c-0eec21ae81af.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,1bde0269-a0c6-3267-b63c-0eec21ae81af,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Northern Appalachia, BIT, Processing",b72ca9e5-cbd8-3780-9d52-ba80bed532ea,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",b72ca9e5-cbd8-3780-9d52-ba80bed532ea.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,b72ca9e5-cbd8-3780-9d52-ba80bed532ea,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Central Interior, BIT, Surface",45a840d7-2567-324b-aa2c-323f9f483d40,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",45a840d7-2567-324b-aa2c-323f9f483d40.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,45a840d7-2567-324b-aa2c-323f9f483d40,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
