exchange_flow_name,exchange_flow_id,exchange_unit,exchange_type,exchange_category,exchange_description,text
Metconazole,85fa74c2-cf9d-3f28-b83d-8a0879bdf319,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Metconazole.Elementary flows/emission/water..
"
Octane,86382895-8bd4-3a06-8690-741950b7d876,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Octane.Elementary flows/emission/air..
"
Nitrogen,e0b92d26-4203-3ae4-aa2d-db74fab4711b,kg,ELEMENTARY_FLOW,Elementary flows/Resource/air,,"Nitrogen.Elementary flows/Resource/air..
"
Thorium-230,e8290192-858e-386e-b764-cc1d1b8d4556,kBq,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Thorium-230.Elementary flows/emission/air..
"
Uranium-235,3c817988-581c-39d4-9117-1bf39c2ba78c,kBq,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Uranium-235.Elementary flows/emission/water..
"
Cyanide,3b66fd84-6bf2-3a57-bd4c-f779d71fee69,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Cyanide.Elementary flows/emission/water..
"
"1,2,4-Trichlorobenzene",2b548673-879c-3885-afe9-2439ce6a47f1,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"1,2,4-Trichlorobenzene.Elementary flows/emission/air..
"
Molybdenum(VI),be787802-0228-3229-bfac-0b1f0c5d19c8,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Molybdenum(VI).Elementary flows/emission/water..
"
Phenytoin,10d3bca9-d36d-3aad-b0a1-6c2a398997ac,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Phenytoin.Elementary flows/emission/air..
"
Nitrate,02e71963-66c4-3d19-8c70-aeec2316762c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Nitrate.Elementary flows/emission/air..
"
Crotonaldehyde,2124a765-4432-344c-9058-09ed9f5fed79,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Crotonaldehyde.Elementary flows/emission/water..
"
Thiobencarb,61a380bd-45b3-34b9-84e3-a8d9803f1c4b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Thiobencarb.Elementary flows/emission/air..
"
m-Cresol,7a29ec10-2ef3-38d3-a7a7-949b39bcd19b,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"m-Cresol.Elementary flows/emission/water..
"
Pyridine,67b9cc0b-261c-3b14-ae73-b88855d26a0f,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Pyridine.Elementary flows/emission/air..
"
Thioacetamide,ffddfe50-9ac2-33df-97d5-2da168ad1d66,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Thioacetamide.Elementary flows/emission/air..
"
Phorate,b5042950-e3b2-3952-8506-73a0ec3d196f,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Phorate.Elementary flows/emission/water..
"
Quizalofop-P-ethyl,d12fbeb9-f28b-3d38-ba3f-bc52f461220c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Quizalofop-P-ethyl.Elementary flows/emission/air..
"
Chrysene,18b5a96b-f01a-3b11-8077-16777ce57763,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Chrysene.Elementary flows/emission/water..
"
Wood,b89103a6-91b2-3701-b3ea-af50f7ad0547,kg,ELEMENTARY_FLOW,Elementary flows/Resource/biotic,,"Wood.Elementary flows/Resource/biotic..
"
Chlormequat chloride,d43382d1-b50d-38d1-b6b9-ea42b273ce82,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Chlormequat chloride.Elementary flows/emission/water..
"
Oxamyl,3c4c9fc3-0410-3718-9dd2-aebd8c5fde99,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Oxamyl.Elementary flows/emission/air..
"
Cadmium compounds,8f9a0368-97e3-37f6-902d-325916697da4,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Cadmium compounds.Elementary flows/emission/air..
"
Safrole,b0a194a5-ed65-3433-802c-cdce511f9a51,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Safrole.Elementary flows/emission/air..
"
Cadmium,d5a296be-7219-3921-a430-cff172ac7911,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Cadmium.Elementary flows/emission/air..
"
Antimony-125,a29a8389-b6a9-377a-b70d-a4bd68733f04,kBq,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Antimony-125.Elementary flows/emission/water..
"
Pyrene,97b592e9-1214-3b29-80e9-904c963da937,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Pyrene.Elementary flows/emission/water..
"
Simazine,e7cfc6fe-4d91-3c57-816d-44aab520648f,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Simazine.Elementary flows/emission/air..
"
Nitric acid,9abbaf71-6686-3b77-93c7-8ba07efc1ab5,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Nitric acid.Elementary flows/emission/ground..
"
Carbaryl,7cdfc5c4-725d-37ba-8a2d-4b1159310d8c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Carbaryl.Elementary flows/emission/air..
"
Hexazinone,c443b39d-93fe-3ca8-a90b-2952c3a5f941,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Hexazinone.Elementary flows/emission/water..
"
Diquat dibromide,d1f8b7ae-e933-3b6f-bb96-c5bd85b5a2c7,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Diquat dibromide.Elementary flows/emission/air..
"
Molybdenum trioxide,028e02ca-551e-37ae-865e-6b885f988a6c,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Molybdenum trioxide.Elementary flows/emission/water..
"
Calcium,5408dd06-70db-3ce6-b304-c391983fd003,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Calcium.Elementary flows/emission/water..
"
Chromium,8a7ef355-2f16-3368-afc8-cf40ed441619,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Chromium.Elementary flows/emission/water..
"
Quizalofop-P-ethyl,ebdb2a75-dbda-3e9f-90a5-a620870cdec6,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Quizalofop-P-ethyl.Elementary flows/emission/water..
"
Isocyanic acid,94fa15b7-6d89-34d9-a473-c9cfcf457c7d,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Isocyanic acid.Elementary flows/emission/air..
"
Azinphos-methyl,181f738f-7fd7-3886-8631-d332d981972b,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Azinphos-methyl.Elementary flows/emission/water..
"
Aniline,8cd61983-018e-388a-88f1-dd026900572a,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Aniline.Elementary flows/emission/air..
"
Bispyribac-sodium,90e35b77-ac00-3ac8-907a-bc8cb875361d,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Bispyribac-sodium.Elementary flows/emission/air..
"
Calcium,98cfca02-c594-3890-a242-18c86de14553,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Calcium.Elementary flows/emission/ground..
"
Aziridine,cec51b41-7f18-39c5-9e43-979b825a2b17,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Aziridine.Elementary flows/emission/air..
"
Famoxadone,a910eadb-362f-376e-9597-24adc8497c3d,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Famoxadone.Elementary flows/emission/air..
"
Dinotefuran,920e368c-b148-3f7e-9edc-ff17ccc23ec8,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Dinotefuran.Elementary flows/emission/air..
"
Fluthiacet-methyl,fd00f414-f357-3585-bd6b-2c57b33d70e9,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Fluthiacet-methyl.Elementary flows/emission/air..
"
Chloroacetic acid,5990e300-8fda-3199-8733-13072a047898,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Chloroacetic acid.Elementary flows/emission/air..
"
2-Acetylaminofluorene,a6acf5d8-c4e6-3414-812e-6f7eda416b43,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"2-Acetylaminofluorene.Elementary flows/emission/air..
"
Xylene,11b4481a-d297-349a-89fc-102009c1410c,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Xylene.Elementary flows/emission/water..
"
Chloropicrin,90a5dcd7-0232-3f76-9a17-d8438df99160,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Chloropicrin.Elementary flows/emission/water..
"
Cadmium,b7ae3e81-d9ce-345f-bd73-d91acbddcd5f,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Cadmium.Elementary flows/emission/water..
"
Anthracene,5aaca76f-ed8b-3dc6-9cb3-597421c567ac,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Anthracene.Elementary flows/emission/air..
"
Fenpyroximate,a182c6e7-b29f-3464-97a5-6551c6e57b61,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Fenpyroximate.Elementary flows/emission/water..
"
Pyridaben,960123dc-c934-399b-929b-b1d0e124ffae,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Pyridaben.Elementary flows/emission/water..
"
Butyraldehyde,8478ff8e-de38-3935-9d16-d1bad2ae179c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Butyraldehyde.Elementary flows/emission/air..
"
Acrylonitrile,8f3ba062-365c-3cde-9776-3c32ec142c78,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Acrylonitrile.Elementary flows/emission/water..
"
Ziram,b149a4d6-33d8-3631-aa5b-bbe25934fb2e,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Ziram.Elementary flows/emission/water..
"
"2,4-D",286cf043-0825-3e42-9c1b-267408824b2d,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"2,4-D.Elementary flows/emission/air..
"
Acenaphthene,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Acenaphthene.Elementary flows/emission/air..
"
Chlorantraniliprole,39f5ac0d-e6d2-3f69-a81e-a2c921f41cf7,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Chlorantraniliprole.Elementary flows/emission/water..
"
Pyroxsulam,0dd142ee-7e06-370a-8dc4-67c923f0b947,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Pyroxsulam.Elementary flows/emission/water..
"
Kresoxim-methyl,b20d3f03-c841-336b-8a25-a21eee931dba,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Kresoxim-methyl.Elementary flows/emission/water..
"
Methamidophos,4bbbe12d-e170-31dc-b321-7abca90e41f1,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Methamidophos.Elementary flows/emission/water..
"
"Dibenz[a,h]acridine",c992bbf2-2c77-3c76-bb44-d8e1f26c3a9b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Dibenz[a,h]acridine.Elementary flows/emission/air..
"
Iridium,dd75d561-b159-3257-9e33-0a2d64362510,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Iridium.Elementary flows/Resource/ground..
"
Manganese ore,76daf866-b662-3499-bcb6-6407d3d69208,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Manganese ore.Elementary flows/Resource/ground..
"
"1,1,1-Trichloroethane",0c56aee4-7e22-3e85-8e83-34829f3e8304,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"1,1,1-Trichloroethane.Elementary flows/emission/air..
"
Pyriproxyfen,92ee70ce-4d0a-3756-a312-a3a578973236,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Pyriproxyfen.Elementary flows/emission/water..
"
Cyfluthrin,7e22d19d-d2af-34eb-b534-6f7b183ff10b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Cyfluthrin.Elementary flows/emission/air..
"
p-Cresidine,e0d85b9c-32e7-3ab3-a615-31e92f7ec99f,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"p-Cresidine.Elementary flows/emission/water..
"
Sodium formate,64e6b6b5-b39d-36b9-8f63-a75593a37c5b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Sodium formate.Elementary flows/emission/air..
"
Trifluralin,33ef7f92-3412-3640-94aa-034580f6485a,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Trifluralin.Elementary flows/emission/water..
"
Copper octanoate,56f8e239-c202-34b2-bac6-e46d46c92a20,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Copper octanoate.Elementary flows/emission/water..
"
Cyprodinil,ad364b46-715f-34b8-988b-a9aff43cd905,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Cyprodinil.Elementary flows/emission/water..
"
Spirotetramat,cd65c98c-9c3a-3815-817d-e5e05f4a05e9,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Spirotetramat.Elementary flows/emission/air..
"
Carbonate,721121c7-a4c7-3fc1-bbc4-7fbaecc2fbe2,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Carbonate.Elementary flows/emission/water..
"
Spirodiclofen,ad8b1108-17dc-3cab-a6d5-de614c887177,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Spirodiclofen.Elementary flows/emission/water..
"
Tellurium,562cddc2-e517-3896-a5d6-1be8fdb73f7f,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Tellurium.Elementary flows/emission/air..
"
Quinclorac,0079de55-858a-392b-b431-97a5e43e80c7,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Quinclorac.Elementary flows/emission/water..
"
Chloromethyl methyl ether,e4648c16-05e7-3840-b501-920d2dde2c64,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Chloromethyl methyl ether.Elementary flows/emission/air..
"
Propane,d7561431-fe1f-3854-862b-a3d2840d39e1,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Propane.Elementary flows/emission/air..
"
Fenbuconazole,d3faa685-438e-3026-94a2-b872779323c5,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Fenbuconazole.Elementary flows/emission/air..
"
p-Phenylenediamine,cadec445-752a-3165-b9f4-543becd5d116,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"p-Phenylenediamine.Elementary flows/emission/air..
"
Butyl acrylate,bfcae3ca-fb79-38cf-ad09-1332b8d8d0d1,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Butyl acrylate.Elementary flows/emission/water..
"
Pyrimethanil,9df3c7fd-e0f3-3708-8582-3ea3a068b9fd,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Pyrimethanil.Elementary flows/emission/air..
"
Aldicarb,588b2180-ae56-312d-8034-b09898bed02a,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Aldicarb.Elementary flows/emission/air..
"
Kaolinite,6d4fdfb9-0f99-382f-9ca2-9d25e972d283,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Kaolinite.Elementary flows/Resource/ground..
"
Ammonia,65b5d5dd-95b5-36b2-8cb0-7c5501ff1e32,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Ammonia.Elementary flows/emission/air..
"
Prothioconazole,04e873e5-4d70-348e-92a7-db9c5819be8f,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Prothioconazole.Elementary flows/emission/water..
"
trans-2-Butene,297a9650-621a-325a-97f3-073c469b7848,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"trans-2-Butene.Elementary flows/emission/air..
"
Benzene,565c5d1a-1e0e-35f3-82a0-4845c43d3dcf,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Benzene.Elementary flows/emission/air..
"
Radium-224,44cd68db-6977-3417-9d90-e0eb26836f37,kBq,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Radium-224.Elementary flows/emission/water..
"
Aldicarb,87271b69-7840-370c-a487-17bee9100ded,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Aldicarb.Elementary flows/emission/water..
"
Soil,14ea7d0e-a7e9-3ca3-b0ef-073e170b75fc,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Soil.Elementary flows/Resource/ground..
"
Isoproturon,716c4b40-fa74-32d4-ba42-e4f1c55c0e4d,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Isoproturon.Elementary flows/emission/water..
"
Fenpropathrin,ec3ade96-0660-30ca-8127-4d02e7f80e1a,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Fenpropathrin.Elementary flows/emission/water..
"
Malathion,099e803c-0241-326f-a929-0272bb9d34fd,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Malathion.Elementary flows/emission/water..
"
Thallium,9afdd2c1-9b05-3de5-a6ba-eb95948a71fa,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Thallium.Elementary flows/emission/air..
"
Carbon black,34e3e9d7-a951-3525-a73b-cfb3f74dbe97,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Carbon black.Elementary flows/emission/air..
"
Nickel,50f56ea3-e292-3c09-89d2-74466af5f11e,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Nickel.Elementary flows/emission/air..
"
Nitrogen dioxide,a742c00e-7148-3f99-9ecc-16bb46bd2f4f,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Nitrogen dioxide.Elementary flows/emission/air..
"
Copper oxychloride,11f24d48-ccff-3a22-89d1-811376f6cde9,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Copper oxychloride.Elementary flows/emission/water..
"
Nitrogen,11a87634-d3a9-31a9-bd33-8d60b9f0f4d4,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Nitrogen.Elementary flows/emission/ground..
"
Fluazifop-P-butyl,3fd750fd-d560-3759-9f07-d4f6c62a3295,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Fluazifop-P-butyl.Elementary flows/emission/water..
"
Chlorobenzene,0fe64d97-61d5-3366-9778-8c39d00edd73,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Chlorobenzene.Elementary flows/emission/air..
"
Nitric acid,53ba40b0-e966-32ba-9a31-d50049e5f77a,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Nitric acid.Elementary flows/emission/air..
"
Permethrin,d6a4944b-7708-30a9-ad0f-6aff425f9988,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Permethrin.Elementary flows/emission/air..
"
Alachlor,2d69966e-a7e6-3641-b409-a64b72e5816b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Alachlor.Elementary flows/emission/air..
"
Oxyfluorfen,f6686c2d-8d2f-38a2-a7e8-e72e9c48a81b,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Oxyfluorfen.Elementary flows/emission/water..
"
Prothioconazole,dcca8290-a359-327b-a108-610e2fa2fb0e,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Prothioconazole.Elementary flows/emission/air..
"
Argon-41,0595730a-def1-336a-be91-4d481dfdf1aa,kBq,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Argon-41.Elementary flows/emission/air..
"
Borax,18b0fc49-f188-33db-a06f-617400160f0c,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Borax.Elementary flows/Resource/ground..
"
Iron,106f9639-cbb0-3fc8-8a6b-8fcc40f3111e,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Iron.Elementary flows/emission/ground..
"
Fenhexamid,5304c52f-36a5-308e-b7c4-1df67a6a1c4d,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Fenhexamid.Elementary flows/emission/air..
"
Cyclohexanol,14d14151-12b4-3138-8f7b-04aa0f51e9ac,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Cyclohexanol.Elementary flows/emission/air..
"
Kaolin,da2af7f7-ae75-3e0d-8d97-4fcc5cd9c5d2,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Kaolin.Elementary flows/emission/air..
"
Diflubenzuron,1db2a042-5522-37e7-8fa4-c66fa273daf8,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Diflubenzuron.Elementary flows/emission/air..
"
Sulfuryl fluoride,b2df6674-2502-3077-b3a7-7dbd89cd26cc,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Sulfuryl fluoride.Elementary flows/emission/air..
"
Prosulfuron,4c2585e0-3786-32e0-8474-13a6065fda9f,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Prosulfuron.Elementary flows/emission/air..
"
"Energy, geothermal",d2792697-9e22-3380-974f-54b92a3549a9,MJ,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Energy, geothermal.Elementary flows/Resource/ground..
"
Argon,b7816a89-bb03-328a-8f01-e57d790cdc60,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Argon.Elementary flows/emission/air..
"
Cyfluthrin,47fa0682-b274-3626-97fd-adf7f3a22559,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Cyfluthrin.Elementary flows/emission/water..
"
Methyl isobutyl ketone,16e9aaa4-b307-3860-a1af-e82f5a1dbd64,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Methyl isobutyl ketone.Elementary flows/emission/air..
"
Fenpropathrin,5cdeba45-c1d6-3567-9754-cf702e1894cf,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Fenpropathrin.Elementary flows/emission/air..
"
HCFC-225cb,f2e3d4af-d2da-3bb1-aebd-21e7aff98127,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"HCFC-225cb.Elementary flows/emission/air..
"
Chlorine,c4da1480-4f19-3d01-8f04-8432c38991b1,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Chlorine.Elementary flows/emission/air..
"
Phosphorus,42cfce06-1ae3-3bf8-b270-b9a3f196e3aa,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Phosphorus.Elementary flows/Resource/ground..
"
Sulfentrazone,86b4e926-0ec1-3c5f-abe3-54ac5e107371,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Sulfentrazone.Elementary flows/emission/water..
"
Piperonyl butoxide,3b292632-98cb-3a4c-bff5-cc022fa98e91,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Piperonyl butoxide.Elementary flows/emission/air..
"
Pyrimethanil,7eef4d01-bb20-34dd-9381-98030a0ecc8e,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Pyrimethanil.Elementary flows/emission/water..
"
Flonicamid,f949e6ab-91af-390e-b57e-160fb5dd276a,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Flonicamid.Elementary flows/emission/air..
"
"1,2-Dibromo-3-chloropropane",707d6cd3-d2d2-383e-9852-bf063efcd75c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"1,2-Dibromo-3-chloropropane.Elementary flows/emission/air..
"
Tetraconazole,e8d8907c-3bf4-3d86-a27b-ec5f6959ec35,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Tetraconazole.Elementary flows/emission/air..
"
Flumiclorac-pentyl,5cc4e64f-7caf-3fef-b8ce-2dc5849dbd1c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Flumiclorac-pentyl.Elementary flows/emission/air..
"
Phosmet,d2ee00c9-d40b-394d-b76d-a084542297b3,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Phosmet.Elementary flows/emission/air..
"
Norflurazon,5a445160-c9a6-3d4f-bab8-bc96d742da45,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Norflurazon.Elementary flows/emission/water..
"
Manganese,7ad12bb9-ceb8-3dea-8afc-3bb5beab4cf6,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Manganese.Elementary flows/Resource/ground..
"
Ethylene oxide,d5670f7b-8a81-3d00-92b1-8c9e12e0ef69,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Ethylene oxide.Elementary flows/emission/air..
"
Boron,57152560-592a-383f-89b1-a77d7d432ad8,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Boron.Elementary flows/emission/water..
"
Uranium,c622a929-bd96-3d1a-817c-9fd0086fe9b2,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Uranium.Elementary flows/emission/ground..
"
Tembotrione,7589eb07-b0bf-3fe3-84c7-7a66e0c3d437,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Tembotrione.Elementary flows/emission/water..
"
Fenamidone,f60ac11d-d2bc-306c-9056-a779f9eeb22b,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Fenamidone.Elementary flows/emission/water..
"
Trypan blue,c8fd4959-2a5d-319d-95d7-cb36694126b9,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Trypan blue.Elementary flows/emission/air..
"
Flonicamid,eb9c0469-79cd-36c4-b2d6-0d615c6bde4a,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Flonicamid.Elementary flows/emission/water..
"
o-Xylene,e99ddeb5-25be-3571-9b7a-2668d9531e8a,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"o-Xylene.Elementary flows/emission/air..
"
Lead,a58c8e84-1ff1-3a64-bf26-567e9bdeb994,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Lead.Elementary flows/emission/ground..
"
Metalaxyl-M,44a95f2d-19d9-3af3-919c-0e0ef455c09c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Metalaxyl-M.Elementary flows/emission/air..
"
Methanol,ad362da4-86b8-3519-b904-d7f3be4328fe,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Methanol.Elementary flows/emission/air..
"
Diisocyanates,bb342be5-7489-32b3-9d11-192b7f49758b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Diisocyanates.Elementary flows/emission/air..
"
"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",8953292b-0a83-3266-a567-295f716600df,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin.Elementary flows/emission/water..
"
Tin ore,59c96b15-6729-379b-a437-335ab9a86c84,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Tin ore.Elementary flows/Resource/ground..
"
Water,96054103-8509-3049-a638-c4d13cc707cc,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Water.Elementary flows/emission/water..
"
Propoxur,5fbe0b26-0f91-3738-9782-dc578b49346b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Propoxur.Elementary flows/emission/air..
"
Isobutyraldehyde,1ed39c7d-b21c-3a99-9059-6a8d14a73489,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Isobutyraldehyde.Elementary flows/emission/air..
"
HCFC-142b,c46a948c-da7e-3209-8daf-fee7d881f846,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"HCFC-142b.Elementary flows/emission/water..
"
Chlorine,516c2433-9344-31e7-8d11-14ca99cbf034,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Chlorine.Elementary flows/emission/ground..
"
2-Methyl-1-butene,3081c013-5a24-3fc7-a0c6-65f9e56f424f,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"2-Methyl-1-butene.Elementary flows/emission/air..
"
Nitrous acid,6185568c-0fa7-3c56-be62-a688e52c0ec1,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Nitrous acid.Elementary flows/emission/water..
"
