exchange_flow_name,exchange_flow_id,exchange_unit,exchange_type,exchange_category,exchange_description,text
Calcium chloride,8fdc7e07-08bc-3f62-b12d-681beb3d8fb5,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Calcium chloride.Elementary flows/Resource/ground..
"
Bensulide,bff10438-f77f-31ac-a730-6051bc326f3a,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Bensulide.Elementary flows/emission/water..
"
o-Toluidine,3d05ff90-ddc4-32c4-b7a6-b0dce709feab,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"o-Toluidine.Elementary flows/emission/water..
"
"1,1,1,2-Tetrachloroethane",663b55b1-648c-348f-a79d-9d44bcdaeb64,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"1,1,1,2-Tetrachloroethane.Elementary flows/emission/air..
"
"1,4-Dichloro-2-butene",bae939dd-4dbc-344d-85cb-c8b5ee137148,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"1,4-Dichloro-2-butene.Elementary flows/emission/water..
"
Molybdenum,beb2d629-1ac8-3385-898d-6454fbcfe8f4,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Molybdenum.Elementary flows/emission/ground..
"
Formaldehyde,c4629bd9-6185-3901-816a-96cee29a19c9,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Formaldehyde.Elementary flows/emission/water..
"
Anhydrite,2318f4a8-61b8-33c5-b169-879c8c7256ff,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Anhydrite.Elementary flows/Resource/ground..
"
Strychnine,20c65470-dfa9-3992-9c6a-16c8c5619251,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Strychnine.Elementary flows/emission/air..
"
Pronamide,44724d42-9b7a-3a27-a5f1-5a95eb35ed64,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Pronamide.Elementary flows/emission/water..
"
Myclobutanil,c263da32-6ab8-349b-8c5b-67e2e1f4bd9d,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Myclobutanil.Elementary flows/emission/water..
"
Azoxystrobin,b7e3bbe6-99aa-32fc-b0a4-7d38e754b55d,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Azoxystrobin.Elementary flows/emission/air..
"
Vanadium ore,fba79fb6-bc9c-39ae-9fdb-28a71ee2389d,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Vanadium ore.Elementary flows/Resource/ground..
"
Chrysene,993fb955-f686-37f7-96e1-22b8c2a35ced,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Chrysene.Elementary flows/emission/air..
"
Thallium,6051a1f6-90e3-3231-b4e6-fdd69c961129,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Thallium.Elementary flows/emission/water..
"
Potassium oxide,9e478ab2-41b2-391e-9c0a-a0d4b38fdd74,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Potassium oxide.Elementary flows/Resource/ground..
"
Sodium carbonate,546de5ab-4d9b-3a33-92c5-5425ec52249a,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Sodium carbonate.Elementary flows/Resource/ground..
"
Uranium,a63a9c73-2fe4-3679-93c2-28b6f7fb8915,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Uranium.Elementary flows/emission/water..
"
Nitrate,3b5d9ccd-0ce5-37ca-8865-c0e1863b405d,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Nitrate.Elementary flows/emission/water..
"
p-Cresol,7ca58e58-ada7-36c9-bdc6-1eea26d32abb,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"p-Cresol.Elementary flows/emission/air..
"
Flumetsulam,9e5a4016-0232-302d-89e5-401ba4d8f927,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Flumetsulam.Elementary flows/emission/water..
"
Copper,fddcce55-84af-3798-81cc-47fedcf811b8,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Copper.Elementary flows/Resource/ground..
"
Ethylene glycol,f6696716-3d44-38fe-8ef2-8f4284367cd1,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Ethylene glycol.Elementary flows/emission/air..
"
Nabam,7993ee59-249a-3401-a98e-4bd52017f53b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Nabam.Elementary flows/emission/air..
"
Calcium polysulfide,78ac09bb-12b5-3c99-80b0-400eb3d65062,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Calcium polysulfide.Elementary flows/emission/air..
"
Carbon-14,5860024c-105f-3546-a5b9-271267151d8c,kBq,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Carbon-14.Elementary flows/emission/air..
"
Fluroxypyr,ff2d4bff-3a30-3ba7-9c97-6c2b5396d15e,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Fluroxypyr.Elementary flows/emission/water..
"
Propionaldehyde,592fa548-20aa-36e9-b703-68be0ff6f30a,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Propionaldehyde.Elementary flows/emission/air..
"
Cyclanilide,84dd356a-4436-30d9-8259-cab9f7fbb457,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Cyclanilide.Elementary flows/emission/air..
"
Aluminum,fcf5aa38-e237-3672-9f59-6bf259ebc10a,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Aluminum.Elementary flows/Resource/ground..
"
Benzidine,dba08d49-f7e0-3dc0-b270-769f70847da3,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Benzidine.Elementary flows/emission/air..
"
Diazinon,e63654f1-f931-3066-a6ed-6e870bb0603d,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Diazinon.Elementary flows/emission/water..
"
Trichloroethylene,2a38b77f-5e72-3a0e-b331-7ce360ac47a1,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Trichloroethylene.Elementary flows/emission/air..
"
Chromium,98bd36e1-fbe4-32ee-ba78-3b6726917c9b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Chromium.Elementary flows/emission/air..
"
Potassium,5207f3a6-df59-315b-a1ac-2ba8e184c666,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Potassium.Elementary flows/emission/ground..
"
Imazosulfuron,f4a174fc-178d-380e-8204-775c641f1ea0,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Imazosulfuron.Elementary flows/emission/water..
"
Deltamethrin,7da38308-b536-32b4-b334-a34c8d952f07,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Deltamethrin.Elementary flows/emission/water..
"
Total Organic Carbon,2f1ba44b-e661-3677-81dd-ff0086adf2fe,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Total Organic Carbon.Elementary flows/emission/air..
"
Lead,fe829136-3042-36e6-b4cb-7ff591e8db98,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Lead.Elementary flows/emission/air..
"
Nonane,1897b106-f879-3b9e-b44d-b5bf29d9d6e5,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Nonane.Elementary flows/emission/air..
"
MCPB,137589d9-3850-33c8-808b-1d7ad1411a27,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"MCPB.Elementary flows/emission/water..
"
Nitroglycerin,8ee2febb-ace4-38cc-b478-a62b5cf3ed1d,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Nitroglycerin.Elementary flows/emission/water..
"
Decabromodiphenyl oxide,97370c11-ab03-3161-b7a1-0fce2e115de9,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Decabromodiphenyl oxide.Elementary flows/emission/water..
"
Total suspended solids,786e8081-5f2e-3bab-9585-d0dba98ec7c3,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Total suspended solids.Elementary flows/emission/water..
"
Barium,2c5aef1c-7cf7-30ee-8a87-ba4682327767,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Barium.Elementary flows/emission/air..
"
"Coal, bituminous",e344d353-61b8-3be6-a2a5-fd5ee93d8a89,MJ,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Coal, bituminous.Elementary flows/Resource/ground..
"
Mercury,2ae8f50e-97b7-33b5-b936-e1d199425695,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Mercury.Elementary flows/emission/ground..
"
Sodium chlorate,15248baa-1473-3722-b139-aca105a98986,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Sodium chlorate.Elementary flows/emission/air..
"
Tungsten,2e3e37e5-3662-3cb5-8d6d-626337fe83cf,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Tungsten.Elementary flows/emission/water..
"
"1,1-Dichloroethane",6f296e0d-93dd-3539-aac6-9f970786d055,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"1,1-Dichloroethane.Elementary flows/emission/water..
"
Terbacil,f7005ea1-d3f3-3df4-a992-60bfed8f12a8,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Terbacil.Elementary flows/emission/water..
"
