issue,orig_process_id,n_products,n_allocated,sum_alloc
bad_sum,ca1d1dfa-fd3c-35f1-bea7-a037251deb04,7,7,1.0000035919055645
bad_sum,cced9535-72f6-3b3a-b3c0-ce21b98eea2b,5,5,0.9999708664396517
