method,flow_name,flow_unit,flow_categories,cf
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e259263c-d1f1-449f-bb9b-73c6d0a32a00')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '16eeda8a-1ea2-408e-ab37-2648495058dd')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'aa7cac3a-3625-41d4-bc54-33e2cf11ec46')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '349b29d1-3e58-4c66-98b9-9d1a076efd2e')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'f9749677-9c9f-4678-ab55-c607dfdc2cb9')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e1c597cc-14cb-4ebb-af07-7a93a5b77d34')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '6d89125e-e9b7-4d7e-a1fc-ada45dbd8815')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '78eb1859-abd9-44c6-9ce3-f3b5b33d619c')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e4e9febc-07c1-403d-8d3a-6707bb4d96e6')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e8787b5e-d927-446d-81a9-f56977bbfeb4')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '28e1e2d6-97ad-4dfd-932a-9edad36dcab9')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '4e1f0bb0-2703-4303-bf86-972d810612cf')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'd6235194-e4e6-4548-bfa3-ac095131aef4')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'eba59fd6-f37e-41dc-9ca3-c7ea22d602c7')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '73ed05cc-9727-4abf-9516-4b5c0fe54a16')",,,1.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'fbf6ab3a-74e3-4cbe-b61d-959728bdce46')",,,60.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '4cadbc9f-0472-4bb9-a942-df5b90e37878')",,,60.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '81305cda-63f1-4c1a-99c6-2c2568550ec4')",,,264.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '473826ae-125a-4b02-8c8e-c84322491d80')",,,264.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'afd6d670-bbb0-4625-9730-04088a5b035e')",,,264.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '20185046-64bb-4c09-a8e7-e8a9e144ca98')",,,264.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '6dc1b46f-ee89-4495-95c4-b8a637bcd6cb')",,,264.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e87f039d-d9ce-4242-ac18-c9284cc80f3d')",,,3710.0
