method,flow_name,flow_unit,flow_categories,cf
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'fa0c2bee-8dd9-4f8a-8489-b1f3b43de958')",,,3710.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'ce6294f5-2ed7-46ee-a967-33e265e34455')",,,578.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '818cee9e-231c-4b53-8ed2-47a0001802d5')",,,578.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'bf580c6b-1b4d-429d-bed7-1e335920941f')",,,6940.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '5eb2d548-1694-496d-b3bd-a439984fca7d')",,,6940.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '5253e322-7de5-42aa-9167-daf22ff44031')",,,6940.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e86bfec2-1025-4fa2-90b1-81e35e621e91')",,,6940.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'f43b2b80-f5a6-4d31-9980-0754305a978d')",,,6940.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'cacfd448-6c2d-4061-9363-fd506b979f25')",,,6490.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '9b132374-dce2-4ce0-86aa-53201b30f617')",,,6490.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '843fd145-61ac-4fa7-a608-ce4ac4d88d49')",,,2550.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '033d3a16-e1a2-4ce8-8769-f4ea867801ca')",,,2550.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '94ca9e00-5268-4663-a0cd-25026c7c6b53')",,,506.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'fff3d2db-2784-4044-a6a2-2bc7242456ee')",,,506.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '1c4a106a-53bc-40f5-bcae-d30ab191dbfe')",,,506.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '9cf9bf0e-86fe-42c0-90cc-bfed96fbdc8f')",,,506.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '393d0862-04cc-45ae-8d08-9dc2a4461b35')",,,506.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '03758df7-503a-400e-bc7b-ec05825761a5')",,,3.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '468bebea-17ee-49d3-b11d-c603d91c67c8')",,,3.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '1e060d5a-cd41-4f30-9c93-272403b7e004')",,,7710.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '7d05319a-1260-45e0-8872-d5ff1712ea7e')",,,7710.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '1584734d-c5c8-42a5-aa51-0f6a92a9cc0d')",,,7710.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '8a3a44e4-e2f1-476d-9e9e-a90fda263fe3')",,,7710.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '3b30d058-02ef-4ed2-b357-5fc1a45c63e7')",,,7710.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '50432644-8568-444e-b7e7-8e37a7e1f3e3')",,,5020.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '1652c2e3-c6c5-49e1-9ad1-34c188087ca6')",,,5020.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '95b6f6da-49f9-413d-8ff5-5342d6cff588')",,,5020.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'ba781ac6-cdf1-4a09-86b5-76b19ed3438b')",,,5020.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '400be66e-4383-482a-93e3-c005e96de261')",,,5020.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '050da0cd-2957-45a9-ae7a-ace372083fe5')",,,292.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'db907ff7-6cf0-4f88-9376-116262dfad6d')",,,292.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '0bf92802-8b5e-43f5-a261-95c06bd5c551')",,,1870.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '9b7e5cbf-e1eb-420d-ad43-248df23457ee')",,,1870.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '71a6ea76-6642-4573-bed2-c1884e6792fd')",,,1870.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '60268f3d-468b-487e-acb1-24d7250cb6b3')",,,1870.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '27f61651-96a5-45c7-9873-832626cf6905')",,,1870.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '4925cde1-9f43-43d3-bcf1-4865b8de6634')",,,5860.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '30533fd3-b19c-44fc-9a88-fb6b12409b47')",,,5860.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '6f8ce7a4-d66a-4593-9314-51778aa09d4b')",,,5860.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'ec8789e5-d140-4ca8-b7ef-b3abfd044414')",,,5860.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '15e54d5b-aba2-40a6-9aa8-aa2b8c432129')",,,5860.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'b7e0bddf-7b8a-43f4-9319-6f4b3d9fa65a')",,,8210.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '7f62f535-e81a-476c-9c39-4d59f289db1a')",,,8210.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '8f3e0579-d07d-48c9-b41a-fb559728f9c0')",,,8210.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'acc39720-dda7-4b3a-80c7-c6394cad4191')",,,8210.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'df5dd437-2e12-4af6-8f7a-9c8224857dc5')",,,8210.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'dc9520c7-6e4a-42fb-b1f6-9fa8f34667a4')",,,6090.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '40022b1f-8906-4c54-a074-bf1a3fc9b13f')",,,6090.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '84386543-b148-465b-9265-ad638c12e263')",,,6090.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '281e1011-f121-4d5b-ad4d-22d562b2c2cd')",,,6090.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '5d1701c5-c4ef-49c7-8a68-ce7c255eee9f')",,,6090.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'd14eb0da-95fd-46c3-90db-55ca33d78701')",,,30.2
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '626dd1d8-5355-40cb-8569-9c87c2c6ab18')",,,30.2
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '8c283de2-50d3-40c8-8bff-1e172c3398f8')",,,9.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '4bf1c333-419b-4278-ac14-247c8bf563d6')",,,9.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '06a4fedf-dab4-4ef1-90df-1d0ce8fe6477')",,,4590.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '50f528ca-45e7-42d0-b399-998ea63ddabf')",,,4590.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '494eb62d-3e16-4a81-b344-6d6dfd9fd4e2')",,,4590.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'ee31ac2a-9336-4ed6-8077-9663003bc2f9')",,,4590.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '816c43d1-bc30-4a72-81db-08cb6be4da4f')",,,4590.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '96b52062-5e2f-40de-921a-f443c08862e4')",,,7800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'cf719b78-9834-4649-a1dd-8554c366c83f')",,,7800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '82957257-07f3-4536-ac8b-175cb2353c75')",,,7800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '4ac2ffc3-312e-4e2d-88c4-2630d4a73d8c')",,,7800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '18ddd879-5496-4419-8ab7-e0d3864d977d')",,,7800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '18c582fe-7336-4138-8797-2db8b7a754c7')",,,5280.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '8ca6c84b-7f56-47e6-8d17-4f2dbc49a943')",,,5280.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '5dfb74d2-fa15-4f2d-bf7c-5aa45a41ec7f')",,,10900.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'b9c1ac70-e2eb-4fcd-bc63-befa92866af5')",,,10900.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '23a9f33d-dbab-4fcc-8f49-1df731b0b827')",,,10900.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e06e2e1e-ad87-49e2-a184-f2d1c48b7b46')",,,10900.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '43bc4fc0-bfeb-46d6-b3de-f69c3ccd622a')",,,10900.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '432a3326-73f8-4752-bc4d-06b7b4b1243c')",,,33.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '2716807d-0266-48ff-bb7a-6e6c5fbfd5c5')",,,33.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'c0e8ec60-a5ae-432e-97a5-cf76b6247a00')",,,10800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '31a3e44c-4098-461e-aba2-f79540e05087')",,,10800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '34de4196-871a-4db8-a182-589ab780a935')",,,543.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'de8d76cb-7216-4e6f-8bf2-8cdf76e99902')",,,543.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '727835b8-c650-4d46-882f-35b2a366b559')",,,543.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '04a6edb8-624a-484e-8f85-d771657adae7')",,,543.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '3c8af80d-7ff8-43f4-b1a7-cef73b1b4682')",,,543.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '33a791a2-a1e7-446b-b25a-b3be6159bae4')",,,2430.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '20d0fc73-b9ce-4001-ac15-893b30ed10a3')",,,2430.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '8fbe2c56-c213-4501-b95e-ff57a76fbd6f')",,,2430.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '151212b4-079b-43a2-96d5-a6eef59166ac')",,,2430.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'c9028b09-c12d-421b-9944-7d145e196ebc')",,,2430.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'f3bd723a-5276-4ae8-9860-b89537351a90')",,,85.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '6b1b495b-70ee-4be6-b1c2-3031aa4d6add')",,,85.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '70ef743b-3ed5-4a6d-b192-fb6d62378555')",,,85.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '0795345f-c7ae-410c-ad25-1845784c75f5')",,,85.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '5f7aad3d-566c-4d0d-ad59-e765f971aa0f')",,,85.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'f757365c-c6fd-41fe-ad32-3594ccd97ef0')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'ef4566f0-60d5-4bbe-a2cb-7268a81fecd4')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '9541a975-800f-4fed-9edf-28f6e411a015')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '7f0ba7c9-341e-413d-80f6-8753727d65d1')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '299c6564-426e-48c3-b516-fdf301d12127')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '18ea247b-edc2-43fe-89bd-cedd04102bcc')",,,45.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '370447a7-70d1-47bd-8577-0a32c4f53570')",,,45.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '6c977009-5c4e-4901-a4c1-ab20389cb972')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '258263a0-6be3-4439-bd84-efee0498b849')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '57bdb443-d4a6-423d-8024-959b8261d02e')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'da1157e2-7593-4dfd-80dd-a3449b37a4d8')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'baf58fc9-573c-419c-8c16-831ac03203b9')",,,84.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '86d12e70-0c64-4ecf-ba52-114fa0c5d402')",,,3480.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '5c97dd6c-aaa5-4477-aaf8-dbd0674499c4')",,,3480.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e59a199f-d4ed-4d43-82b1-71c4a8fae867')",,,4880.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '6d023c39-c04e-4305-b2e4-adc89b53e708')",,,4880.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'b353e7d2-5b94-4b6e-a3e5-de0a10bef851')",,,4880.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '33681770-a0e1-4ce8-93c3-941fd607fa5f')",,,4880.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'dfe1da1e-7756-4f7e-a393-6d5e2342a962')",,,4880.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '51e99a55-bcdb-4d18-9484-6de4b142e09d')",,,6900.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '33a69662-583b-45b8-8cb9-94f59fca9133')",,,6900.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'dc78690a-2b0a-49fc-8272-b811fb25ff6c')",,,10800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'a3724600-89c1-4f35-97c9-0de3adbadc8b')",,,10800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '5e2e1740-1bb9-4157-b816-6cb5aa006437')",,,10800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e5ba3517-a93f-422e-9ce2-f1007fcf6c06')",,,10800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '8f87dcf1-0177-4d62-bea0-a5dd8647ef8c')",,,10800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '4c097625-506e-4dfc-a170-75fda90cf7cb')",,,12800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'fdf090d7-ee05-4f33-8b7f-5504c718c3cd')",,,12800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'f8cf5fd7-9f94-4870-9e6a-768deae9b766')",,,12800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e79e03c3-5b19-45f6-b3f3-bf710c6663d2')",,,12800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '1fdc280a-34d3-4513-b110-3f526b17c443')",,,12800.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'e2ccc98a-6d4e-443b-b11f-d16f32782833')",,,6350.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'acbae70a-5450-448f-9038-c403cb496e1a')",,,17500.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '44e4d1ce-fa79-4ed5-93f9-445c4ff8df2e')",,,17500.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', 'c7c769bb-89b9-4459-afed-e3acecd39339')",,,17500.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '35d1dff5-b535-4628-9826-4a8fce08a1f2')",,,17500.0
"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')","('biosphere3', '856c9aa2-c20c-49a8-9417-c71bdb5f17b0')",,,17500.0
