domain,exchange_flow_name,exchange_supplying_process_id,exchange_supplying_process_location,exchange_supplying_process_name,info_process_id,info_process_location,info_process_name,info_unit,n_row_amount,n_row_unit,process_name,reason
technosphere,"Alloying additives, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.021,kg,"Aluminum, secondary, ingot, from automotive scrap, at plant",Cutoff dummy flow skipped
technosphere,"Alloying additives, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.021,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Chemicals, unspecified, used for wastewater treatment",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.008,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Filter media, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,4.79e-05,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Treatment gases, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.003,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Treatment salts, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.009,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Packaging, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.67e-05,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Grain refiners, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.0003,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Aluminum scrap, used beverage cans",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.032,kg,"Aluminum, secondary, ingot, from beverage cans, at plant",Cutoff dummy flow skipped
technosphere,"Treatment gases, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.001,kg,"Aluminum, secondary, rolled",Cutoff dummy flow skipped
technosphere,"Grain refiners, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.0001,kg,"Aluminum, secondary, rolled",Cutoff dummy flow skipped
technosphere,"Alloying additives, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.009,kg,"Aluminum, secondary, rolled",Cutoff dummy flow skipped
technosphere,"Filter media, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,2.21e-05,kg,"Aluminum, secondary, rolled",Cutoff dummy flow skipped
technosphere,"Chemicals, unspecified, used for wastewater treatment",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.004,kg,"Aluminum, secondary, rolled",Cutoff dummy flow skipped
technosphere,"Treatment salts, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.004,kg,"Aluminum, secondary, rolled",Cutoff dummy flow skipped
technosphere,"Packaging, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,7.6e-06,kg,"Aluminum, secondary, rolled",Cutoff dummy flow skipped
technosphere,"Silica sand, at mine",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.03538,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
technosphere,"Chemicals, unspecified, used for wastewater treatment",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.01,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
technosphere,"Grain refiners, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.0003,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
technosphere,"Filter media, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,5.81e-05,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
technosphere,"Treatment gases, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.011,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
technosphere,"Alloying additives, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.025,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
technosphere,"Packaging, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,2e-05,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
technosphere,"Treatment salts, unspecified, at plant",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.01,kg,"Aluminum, secondary, shape casted",Cutoff dummy flow skipped
