orig_process_id,n_products,n_allocated,sum_alloc,min_alloc,max_alloc,sum_ok,coverage_ok,allocation_type_requested,allocation_type_present_in_csv
c245a252-0860-41d2-9789-802bab7984ab,1,1,1.0,1.0,1.0,True,True,PHYSICAL_ALLOCATION,True
ca1d1dfa-fd3c-35f1-bea7-a037251deb04,7,7,1.0000035919055645,0.0015739179314221,0.86341,False,True,PHYSICAL_ALLOCATION,True
cc886340-1e9e-40fc-8bae-87ea661f00c7,1,1,1.0,1.0,1.0,True,True,PHYSICAL_ALLOCATION,True
cced9535-72f6-3b3a-b3c0-ce21b98eea2b,5,5,0.9999708664396517,0.0041619371925841,0.961,False,True,PHYSICAL_ALLOCATION,True
cdc143eb-fff8-3618-85cd-bce83d96390f,3,3,0.9999999999999998,0.1426296820307801,0.4326700501464587,True,True,PHYSICAL_ALLOCATION,True
ce587724-1be4-3da0-b7a2-988592c28b9a,6,6,0.9999999999999999,0.02,0.57,True,True,PHYSICAL_ALLOCATION,True
d6439ada-877c-30ff-92b2-875e88b88141,1,1,1.0,1.0,1.0,True,True,PHYSICAL_ALLOCATION,True
d85c6177-4580-35f0-afd6-52125ababf10,2,2,1.0,0.007,0.993,True,True,PHYSICAL_ALLOCATION,True
d9cadd89-4203-375a-903a-63197cd29c6a,3,3,1.0,0.002138787828411,0.8465235906059579,True,True,PHYSICAL_ALLOCATION,True
dcfd311d-d8be-4c39-bd16-a5bd0dd9eec8,1,1,1.0,1.0,1.0,True,True,PHYSICAL_ALLOCATION,True
f2ddc783-1192-43c8-aa84-938af62d8328,1,1,1.0,1.0,1.0,True,True,PHYSICAL_ALLOCATION,True
f3b8fc97-f519-3da0-80de-72a7d5551fda,2,2,0.9999999999999999,0.0187390482077553,0.9812609517922446,True,True,PHYSICAL_ALLOCATION,True
f61ecd3b-fdba-3739-8051-1d4bb0c2d98e,1,1,1.0,1.0,1.0,True,True,PHYSICAL_ALLOCATION,True
