activity_name,activity_db,activity_code,reference_product,activity_unit,location,production_amount,functional_unit_amount,method_1,method_2,method_3,method_str,method_unit,lcia_score
Electricity - BIOMASS - Duke Energy Progress East,uslci_database529,f7e1b7f9-f2f6-345d-84d0-b2a7e361b44b,"Electricity, AC, 2300-7650 V",MJ,Duke Energy Progress East,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.18542552736862644
"Wood Combusted, at boiler, at hardboard mill",uslci_database529,f3b8fc97-f519-3da0-80de-72a7d5551fda.80bd7cd8-a4ec-3dd8-888f-1f0f25d355e9,"Wood ash, generated on-site, at hardboard mill",kg,Northern America,1.0190969060508632,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.834637896254519
"Diesel, combusted in industrial equipment",uslci_database529,d6ad7035-5498-3237-8abd-50e93b1eef89,"Diesel, combusted in industrial equipment",l,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,3.399059636378243
"Transport, school bus, diesel powered, Alaska",uslci_database529,03ea6a34-7abd-3220-a6c7-9b14a551b9f7,"Transport, school bus, diesel powered",p*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.014297701686190066
"Paper, freesheet, coated, average production, at mill",uslci_database529,51cb18c8-eb65-36b7-a20a-bc1ed819ff88.6acc3588-b251-37e3-833b-70725f9a7a7f,"Turpentine, at coated freesheet mill",kg,Northern America,1.4969,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1767.2068230483385
power plant construction - wind_const - Avista Corporation,uslci_database529,ed12e1c3-7374-3868-af67-d9bc605fb1ab,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,21.2116805828839
"Transport, transit bus, gasoline powered",uslci_database529,eef0b665-299e-3de6-9edc-9e13a3adbdf0,"Transport, transit bus, gasoline powered",p*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.1071513849337391
"Transport, combination truck, compressed natural gas powered, Southeast",uslci_database529,c89719ad-de15-31f9-8519-e7d0a6c62fe3,"Transport, combination truck, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.07179796828178141
"Transport, light commercial truck, diesel powered, West",uslci_database529,7666dfe2-42e7-32b1-865c-ad7abef41db3,"Transport, light commercial truck, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.48181833429642434
Electricity; at grid; consumption mix - Turlock Irrigation District - BA,uslci_database529,dc86ebfe-97cb-3d92-b770-6210e170b1bd,"Electricity, AC, 2300-7650 V",MJ,Turlock Irrigation District,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.10045938598761923
Electricity; at grid; generation mix - PacifiCorp West,uslci_database529,dc6feb45-39d4-3d29-b38a-9911d1e7b3a8,"Electricity, AC, 2300-7650 V",MJ,PacifiCorp West,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.02012761403615925
power plant construction - wind_const - Gridforce South,uslci_database529,3157555a-f4f7-3bed-a83a-6f6b5a9f0b32,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,11.207853004049865
power plant construction - wind_const - Tucson Electric Power Company,uslci_database529,b5a1da4a-c459-3a01-a0e7-cf3a6234c5d3,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,34.648521281926776
"power plant construction - coal_const - Southern Company Services, Inc. - Trans",uslci_database529,d43ae72a-8ef2-3362-a0b8-9f27df0f9391,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,24441.688223799854
"Transport, single unit truck, short-haul, electricity powered, Southeast",uslci_database529,63c20ec0-b164-33d8-8e3e-ed6959b7e25f,"Transport, single unit truck, short-haul, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.054200826923604215
"Deposit containers, at collection, California Refund Value, CRV",uslci_database529,fadc1941-94ca-3a5d-aea9-429cd0d76a08,"Deposit containers, at collection, California Refund Value, CRV",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.10884152203789359
"Electricity - HYDRO - Public Utility District No. 2 of Grant County, Washington",uslci_database529,174bc777-c2e2-3083-98d9-e70d4c0f9feb,"Electricity, AC, 2300-7650 V",MJ,"Public Utility District No. 2 of Grant County, Washington",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0010108710266649723
"RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)",uslci_database529,7ee5b4ca-1a5e-3d26-8e79-0805a115e444,"RFO, combusted in industrial boiler, at pulp and paper mill (EXCL.)",l,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,4.004439931688348
"Wood fuel, unspecified",uslci_database529,5dd973e3-0fc2-38d8-a25b-51b82ee2c2de,"Wood fuel, unspecified",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Electricity, at grid",uslci_database529,81ab92da-bf0e-4b32-9ba8-404854a9b8bb,"Electricity, at grid",MJ,Congo,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0005504647798031371
"Crude palm kernel oil, at plant",uslci_database529,c77a668e-733b-3e86-9a1d-bcec8b0064dc,"Crude palm kernel oil, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,3.7899098187120073
"Transport, passenger car, diesel powered",uslci_database529,c01e63be-688d-36c6-ba41-07d900691186,"Transport, passenger car, diesel powered",p*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.21144562275776474
"Potassium sulphate alum, as K2O, hardboard",uslci_database529,d42c11eb-98d2-3cf5-add5-d7c65431bfa3,"Potassium sulphate alum, as K2O, hardboard",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,23.70151123405853
"Transport, combination truck, short-haul, gasoline powered, Southeast",uslci_database529,544f8909-5dd2-35e8-b383-c10fd32d81ea,"Transport, combination truck, short-haul, gasoline powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.08450487571973858
"Portland cement, at plant",uslci_database529,62993671-574c-3fc5-b66a-6be3bb21ad3d,"Portland cement, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.3080043660725666
"Aluminum, cold rolling, at plant",uslci_database529,2b196386-eb1a-352a-aeda-4d003144f6df,"Aluminum, cold rolling, at plant",kg,Northern America,1000.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,5.015258891320976
"Hardboard, at hardboard plant",uslci_database529,ca1d1dfa-fd3c-35f1-bea7-a037251deb04.3390eff1-cd0f-3554-8226-c005bc295f84,"Sander dust, wood fuel, at hardboard plant",kg,Northern America,889.500000000004,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.099109470949737
Electricity - HYDRO - Florida Power & Light Co.,uslci_database529,a89030c5-0fce-3ecd-a1fb-bb13032b16e3,"Electricity, AC, 2300-7650 V",MJ,Florida Power & Light Co.,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.015422332100570202
"Ductile Iron Pipe, 24"" inch diameter; at plant; per linear foot",uslci_database529,0b27a86d-d4f0-374d-879b-1a1d608d45f3,"Ductile Iron Pipe, 24""",ft,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,39.650601640858746
Glass fiber; at plant,uslci_database529,60970f46-7a3f-47d7-ab17-e102327bed27,"Glass fiber, reinforced polymer",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.1283548638482628
Electricity - BIOMASS - PacifiCorp West,uslci_database529,dbe82b32-2144-3370-92b2-1fbc4d183b68,"Electricity, AC, 2300-7650 V",MJ,PacifiCorp West,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.4361044500993607
"Steel; cold rolled coil, at plant",uslci_database529,cc886340-1e9e-40fc-8bae-87ea661f00c7.61bb54c5-63bd-48dc-8625-4660cde8aee9,"Tailings, stockpiled, steelmaking, on-site, for unspecified beneficial use",kg,Northern America,0.708701978,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.685630745361897
"Electricity - SOLAR - Electric Reliability Council of Texas, Inc.",uslci_database529,f34369c5-a087-3df8-aea9-ce59f90e07d6,"Electricity, AC, 2300-7650 V",MJ,"Electric Reliability Council of Texas, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.007204927337997272
"Unsaturated polyester, UPR, resin, at plant",uslci_database529,91c096d9-987d-34c6-90c0-3c672b467086.c25b6819-2963-3148-b431-c84062d99316,"Unsaturated polyester, UPR, scrap resin, at plant",kg,US,0.0014,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1344.9497968619128
"Sodium hydrogen Sulfite, 12.5% in solution Bridge; USLCI to USEEIO",uslci_database529,60ec67a9-1287-4323-9efe-df1c1434c9b6,"Sodium hydrogen sulfite, 12.5% in solution",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Natural gas, Barnett Shale, at extraction",uslci_database529,e7425edd-537c-497f-aa4b-7a8a79b1ab4a,"Natural gas, at extraction",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.20530295911759014
"Transport, combination truck, short-haul, electricity powered, Southwest",uslci_database529,8118084d-2f5c-35c8-a355-e0943a9efbe8,"Transport, combination truck, short-haul, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.05686172389373689
Drinking water treatment; Sand filtration infrastructure; at plant,uslci_database529,25dc85c1-c37b-390a-9886-06e5cdc1d732,Drinking water treatment; Sand filtration infrastructure,m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.00018193618693632295
"Electricity - SOLAR - Associated Electric Cooperative, Inc.",uslci_database529,ee8ec87f-eadf-3ac0-a708-aef3f98c939d,"Electricity, AC, 2300-7650 V",MJ,"Associated Electric Cooperative, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.012288809635580933
"Electricity; at user; consumption mix - City of Tacoma, Department of Public Utilities, Light Division - BA",uslci_database529,18eb79cf-ddb7-30a8-b653-f7e4e44500f7,"Electricity, AC, 120 V",MJ,"City of Tacoma, Department of Public Utilities, Light Division",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0005750509873085202
"Transport, single unit truck, short-haul, diesel powered, Northeast",uslci_database529,2962a2fb-4a99-3f77-b999-629bef8eb124,"Transport, single unit truck, short-haul, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.11381821173508244
Electricity - BIOMASS - Hawaiian Electric Co Inc,uslci_database529,99e620ca-b5a3-3341-ab25-78b4353313bd,"Electricity, AC, 2300-7650 V",MJ,Hawaiian Electric Co Inc,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.220510037920576
"Ethanol, 85%, dispensed, at pump - PROXY",uslci_database529,10d44fc8-3120-326c-b57b-531ce9f43013,"Ethanol, 85%, disepensed, at pump",btu,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0005509182400430443
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,uslci_database529,0891c56f-6239-3713-895a-c03ddbb7c73d,"Electricity, AC, 2300-7650 V",MJ,Salt River Project Agricultural Improvement and Power District,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.07325488753706381
power plant construction - ngcc_const - Tampa Electric Company,uslci_database529,2438e27e-ed0d-3c55-b352-3295e91ca32f,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,20924.277618840148
power plant construction - solar_pv_const - El Paso Electric Company,uslci_database529,81af7350-a541-3c92-8743-0efb66f171c2,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,13.688981910643674
"Transport, single unit truck, electricity powered, Southeast",uslci_database529,8c5f924d-f2e5-32df-9e19-d2682d2e8208,"Transport, single unit truck, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.057104514231649854
"Transport, transit bus, diesel powered, Alaska",uslci_database529,5338cf67-3f06-3a0f-81ab-1f7ee8d449f7,"Transport, transit bus, diesel powered",p*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.11447940090017593
Lithium hydroxide monohydrate; production from spodumene concentrate; at plant; 100% purity,uslci_database529,dbff9ee8-0cf1-4ce9-9109-f0feb23903d0,"Lithium hydroxide monohydrate, at plant",kg,Canada,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,8.297956225018872
"Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42",uslci_database529,0853441e-0b11-30f6-87c5-00ca7df78e21,"Heat, indirect, heated zones, softwood, plywood veneer drying, AP-42",kg,Northern America,1993.2,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,-3.26511732280197e-15
"Bauxite, at mine",uslci_database529,76a47261-8a9c-30a2-93a6-f5a029aded6f,"Bauxite, at mine",kg,Global,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.05117720650517251
Electricity - SOLAR - Duke Energy Carolinas,uslci_database529,3378c3fe-8709-34d1-97b9-379ca4532219,"Electricity, AC, 2300-7650 V",MJ,Duke Energy Carolinas,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.011849819743274936
power plant construction - coal_const - PacifiCorp - East,uslci_database529,4ff6d5c6-dc58-3862-bcff-3a2ebd30b9e5,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,24441.688223799854
Electricity - WIND - Southwest Power Pool,uslci_database529,e7af980b-816e-3150-b9e6-f970b9de0e7e,"Electricity, AC, 2300-7650 V",MJ,Southwest Power Pool,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0038037798763863742
"power plant construction - ngcc_const - Gridforce Energy Management, LLC",uslci_database529,c71741b5-5c0f-3dfb-8d15-fe112b0548d7,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,15300.678036922014
"Lumber, softwood, borate treated, PNW",uslci_database529,f72ae896-25f0-35f9-affe-8d2a7ef34f92,Lumber; softwood; borate treated,m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,28.477011494133603
Cobalt sulfate; at plant ,uslci_database529,16f46b37-1817-4cd7-87c4-fecdc5a0e1c8,Cobalt sulfate; at plant,kg,China,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,6.384466251677772
power plant construction - solar_pv_const - Tennessee Valley Authority,uslci_database529,b166f9f4-07e9-349e-b7c5-f553446466d5,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,29.173776500284763
"Polystyrene, general purpose, GPPS, resin; at plant",uslci_database529,13821cca-f344-37b9-a367-0467be778061,"Polystyrene, general purpose, GPPS, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.9837923390294363
"Ethylene glycol, materials production, organic compound, at plant, kg",uslci_database529,2a78de43-fdf2-4c5f-b527-89db6568ace8,"Ethylene glycol, at plant, kg",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.9421946682189744
"Tillage, reduce, corn production",uslci_database529,d67585e4-5ddf-3722-a4cc-0b7576a05b07,"Tillage, reduce, corn production",m2,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Pulpwood, softwd, avg, state or private moist forest, at forest rd, INW",uslci_database529,fa501a68-3e1d-3ef1-84a0-48eead282f98,Pulpwood; softwd; avg; state or private moist forest; at forest rd,m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Transport, single unit truck, short-haul, diesel powered, Central",uslci_database529,1cb962d8-c4ea-39cf-be3f-9062109feb1d,"Transport, single unit truck, short-haul, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.1139777270189652
Office scanner,uslci_database529,84d335bb-f2ce-38dc-b81f-55d4eb7408c7,Office scanner,kg,Global,8.703,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.9680618815405146
"Paper, freesheet, uncoated, average production, at mill",uslci_database529,732a5578-1750-3738-b0f2-607106574358.8e4dac34-5700-3385-90ae-ebc71adf6ef1,"Electricity, at uncoated freesheet mill",kWh,Northern America,65.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,46.01347024430595
"Tillage, intensive, corn production",uslci_database529,d7a673e2-dc84-31fa-b15c-a03a6863c8dd,"Tillage, intensive, corn production",m2,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,uslci_database529,a5160fbc-6380-34ec-8a13-afb28f53dd77,"Electricity, AC, 2300-7650 V",MJ,Public Utility District No. 1 of Chelan County,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.000526860065292567
"Transport, combination truck, short-haul, gasoline powered, Alaska",uslci_database529,90e9ed10-ddca-3812-8bde-2a1b1f3fb427,"Transport, combination truck, short-haul, gasoline powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0826411119675002
Electricity - HYDRO - Southeastern Power Administration,uslci_database529,16591676-1008-36c8-96c0-85146985022c,"Electricity, AC, 2300-7650 V",MJ,Southeastern Power Administration,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
