activity_name,activity_db,activity_code,reference_product,activity_unit,location,production_amount,functional_unit_amount,method_1,method_2,method_3,method_str,method_unit,lcia_score
power plant construction - ngcc_const - Salt River Project,uslci_database529,dcd94666-d5af-30cd-92d7-99bb436b1ef6,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,16238.198400210838
"Transport, single unit truck, short-haul, electricity powered, Northeast",uslci_database529,103e5c10-96c9-3a1f-bf8b-7054873ee7ec,"Transport, single unit truck, short-haul, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.05312371075980494
"Transport, single unit truck, long-haul, compressed natural gas powered, South",uslci_database529,b797797e-814d-3e4a-867b-90bea0bcdeaa,"Transport, single unit truck, long-haul, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.1405531055660523
Electricity - GAS - Nevada Power Company,uslci_database529,c001e6d7-96a1-3b15-bc00-3a59a69b10b3,"Electricity, AC, 2300-7650 V",MJ,Nevada Power Company,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.13928174908220703
"Transport, single unit truck, short-haul, compressed natural gas powered, West",uslci_database529,4bf31707-0a50-3cd8-8e87-0887e4ba8a86,"Transport, single unit truck, short-haul, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.1593222390510336
Electricity; at grid; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,uslci_database529,37893aea-d79a-36fd-9ac3-8dd1e8cb7a98,"Electricity, AC, 2300-7650 V",MJ,Western Area Power Administration - Upper Great Plains West,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0538604403444877
"Particleboard, average, softwood, particleboard mill",uslci_database529,57686507-ed6b-3e06-906e-c28a7c6fb8bc.ad78a50f-def9-3337-84ab-61e9196b0042,"Wood fuel, sanderdust, particleboard mill",kg,Northern America,778.1800069183315,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.3158578671284917
"Transport, combination truck, electricity powered, East North Central",uslci_database529,d9873e27-06d1-3f4d-b1ce-8b5e81052a0d,"Transport, combination truck, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0901324589856121
"Marine piling, softwood, CCA treated, SE",uslci_database529,270aeae0-14c8-35fa-9d15-0f0c42fb47ca,Marine piling; softwood; CCA treated,m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,348.31809615233396
"Electricity; at grid; generation mix - Gridforce Energy Management, LLC",uslci_database529,2e94084d-ffad-3183-9078-ad113e8083de,"Electricity, AC, 2300-7650 V",MJ,"Gridforce Energy Management, LLC",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.13011601166888062
"Polyethylene terephthalate, PET, virgin resin, at plant",uslci_database529,2b2f738d-2044-462f-ba56-5112ee683cb6,"Polyethylene terephthalate, PET, virgin resin, at plant, kg",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.0766108019144767
