id1,id2,flow,unit,description,type,emission_id,database,,,
"('biosphere3', 'b1c36287-329c-49f0-93c2-68246d34007c')",b1c36287-329c-49f0-93c2-68246d34007c,"1,2-Dichlorobenzene",kilogram,air,emission,b1c36287-329c-49f0-93c2-68246d34007c,biosphere3,,,
"('biosphere3', '67070d27-426e-43e9-98e8-309952f78140')",67070d27-426e-43e9-98e8-309952f78140,"1,2-Dichlorobenzene",kilogram,water,emission,67070d27-426e-43e9-98e8-309952f78140,biosphere3,,,
"('biosphere3', '584ffb1c-036d-417b-a9d1-1ec694dc2cdc')",584ffb1c-036d-417b-a9d1-1ec694dc2cdc,"1,2-Dichlorobenzene",kilogram,"air; low population density, long-term",emission,584ffb1c-036d-417b-a9d1-1ec694dc2cdc,biosphere3,,,
"('biosphere3', '79b3f708-dd3f-4ccb-9121-a4cdd46e0dc4')",79b3f708-dd3f-4ccb-9121-a4cdd46e0dc4,"1,2-Dichlorobenzene",kilogram,water; surface water,emission,79b3f708-dd3f-4ccb-9121-a4cdd46e0dc4,biosphere3,,,
"('biosphere3', '77db8bd1-5a69-465c-b51f-7b27fbb574a5')",77db8bd1-5a69-465c-b51f-7b27fbb574a5,"1,2-Dichlorobenzene",kilogram,air; lower stratosphere + upper troposphere,emission,77db8bd1-5a69-465c-b51f-7b27fbb574a5,biosphere3,,,
"('biosphere3', '5b7d620e-2238-5ec9-888a-6999218b6974')",5b7d620e-2238-5ec9-888a-6999218b6974,"1,3-Dioxolan-2-one",kilogram,water,emission,5b7d620e-2238-5ec9-888a-6999218b6974,biosphere3,,,
"('biosphere3', 'c5de5e4d-85cf-4102-9ff1-5248d8928ba1')",c5de5e4d-85cf-4102-9ff1-5248d8928ba1,"1,4-Butanediol",kilogram,water; ground-,emission,c5de5e4d-85cf-4102-9ff1-5248d8928ba1,biosphere3,,,
"('biosphere3', '38a622c6-f086-4763-a952-7c6b3b1c42ba')",38a622c6-f086-4763-a952-7c6b3b1c42ba,"1,4-Butanediol",kilogram,air; urban air close to ground,emission,38a622c6-f086-4763-a952-7c6b3b1c42ba,biosphere3,,,
"('biosphere3', '83bafcf1-2f2e-4a32-89a0-f1f16ca10626')",83bafcf1-2f2e-4a32-89a0-f1f16ca10626,"1,4-Butanediol",kilogram,air; non-urban air or from high stacks,emission,83bafcf1-2f2e-4a32-89a0-f1f16ca10626,biosphere3,,,
"('biosphere3', 'aae8aac7-b81d-41e4-b356-912b369d1c55')",aae8aac7-b81d-41e4-b356-912b369d1c55,"1,4-Butanediol",kilogram,water; ocean,emission,aae8aac7-b81d-41e4-b356-912b369d1c55,biosphere3,,,
