process_name,process_id,process_location,process_description,exchange_name,exchange_id,exchange_flow_name,exchange_flow_id,exchange_amount,exchange_unit,exchange_type,exchange_category,exchange_description,exchange_is_input,exchange_ecoinvent_type,exchange_supplying_process_id,exchange_supplying_process_name,exchange_supplying_process_location,exchange_flow_type
spherical purified graphite,fb43cfb10df14446bd20e17f0f1bf7f1,GLO,life cycle inventory from https://www.sciencedirect.com/science/article/pii/S0959652622001172,spherical purified graphite,fb43cfb10df14446bd20e17f0f1bf7f1,spherical purified graphite,fb43cfb10df14446bd20e17f0f1bf7f1,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
landfilling EOL PV module,6432507b674148ed87e144558d34d260,GLO,"Inventory from NREL report ""An Updated Life Cycle Assessment of Utility-Scale Solar Photovoltaic Systems Installed in the United States""",landfilling EOL PV module,6432507b674148ed87e144558d34d260,landfilling EOL PV module,6432507b674148ed87e144558d34d260,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
offshore wind_kwh,1648517c352b49f2843225d13a0e8fd0,GLO,"using inventory for offshore wind rom REMPD, including EoL but without credits for recycling'

MW to kwh conversion determined assuming : 20 lifespan, 40% capacitity factor --> total lifecycle kwh = 70080000",offshore wind_kwh,1648517c352b49f2843225d13a0e8fd0,offshore wind_kwh,1648517c352b49f2843225d13a0e8fd0,1.0,kwh,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
wastewater treatment,ae96b993269a4ecda26d0eb391ddcf08,GLO,"Generic LCI for wastewater treatment, assuming secondary treatment (based on GREET assumptions for energy use in the report 
""Industrial Wastewater Treatment in GREET® Model: Energy Intensity, Water Loss, Direct Greenhouse Gas Emissions, and Biogas Generation Potential""

",wastewater treatment,ae96b993269a4ecda26d0eb391ddcf08,wastewater treatment,ae96b993269a4ecda26d0eb391ddcf08,1.0,m3,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Flat glass,517a14daa453434397033cf978e95cb4,GLO,"Based on high level inventory reported in GREET report https://greet.anl.gov/files/glass-fiber-update

Only energy requirements are considered",Flat glass,517a14daa453434397033cf978e95cb4,Flat glass,517a14daa453434397033cf978e95cb4,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
",Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
aluminum alloy,7ecd4d003842417ca1cdd976c4bd554c,GLO,"LCI for aluminum alloy 6063, 
Based on data from: 
https://ars.els-cdn.com/content/image/1-s2.0-S2542435122002537-mmc1.pdf

-recommended by Heather Merletz for solar aluminum frames",aluminum alloy,7ecd4d003842417ca1cdd976c4bd554c,aluminum alloy,7ecd4d003842417ca1cdd976c4bd554c,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Hastelloy X,99d8de1cc19c4e8ea9b9974086e636bc,GLO,"inventory for super alloy based on manufacturer specs. Missing molybdenum.

https://haynesintl.com/en/alloys/alloy-portfolio/high-temperature-alloys/hastelloy-x/#nominal-composition",Hastelloy X,99d8de1cc19c4e8ea9b9974086e636bc,Hastelloy X,99d8de1cc19c4e8ea9b9974086e636bc,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Wind, offshore baseline EOL no credits",aeee3498803b4c5d8b9646fe53e0bdf2_copy4,GLO,"inventory data from REMPD
Baseline EOL assumes blades are landfilled, 50% of metals are recycled","Wind, offshore baeline EOL no credits",aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baeline EOL no credits",aeee3498803b4c5d8b9646fe53e0bdf2_copy4,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
LFP battery,2a0d5a60272b4371a22bb858c8d24e1b,GLO,,LFP battery,2a0d5a60272b4371a22bb858c8d24e1b,LFP battery,2a0d5a60272b4371a22bb858c8d24e1b,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
