process_name,process_id,process_location,process_description,exchange_name,exchange_id,exchange_flow_name,exchange_flow_id,exchange_amount,exchange_unit,exchange_type,exchange_category,exchange_description,exchange_is_input,exchange_ecoinvent_type,exchange_supplying_process_id,exchange_supplying_process_name,exchange_supplying_process_location,exchange_flow_type
hard carbon from biomass pyrolysis,94a32f6d63324a1896c4733a2f3f83b8,GLO,"inventory for hard carbon production from biomass pyrolysis (bamboo).

Invenotry is representative of pilot scale process (100kg/batch throughput), derived from 
https://www.sciencedirect.com/science/article/pii/S138589472404899X#s0120",hard carbon from biomass pyrolysis,94a32f6d63324a1896c4733a2f3f83b8,hard carbon from biomass pyrolysis,94a32f6d63324a1896c4733a2f3f83b8,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"steel, EAF",5d03aa6c51024effb8b716cb2c745572,GLO,life cycle inventory derived from Yang et al 2023 https://doi.org/10.1016/j.susmat.2022.e00564,"steel, EAF",5d03aa6c51024effb8b716cb2c745572,"steel, EAF",5d03aa6c51024effb8b716cb2c745572,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
sinter ore,211100546c7a4441ab50b5d25fa1915b,GLO,LCI: https://www.sciencedirect.com/science/article/pii/S2214993722001786,sinter ore,211100546c7a4441ab50b5d25fa1915b,sinter ore,211100546c7a4441ab50b5d25fa1915b,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"steel, global avg BOF/EAF",557c928bb1d243bab9895bc1e1ae9ef2_copy1,GLO,"Based global average EAF fraction (28%) https://energyandcleanair.org/wp/wp-content/uploads/2024/03/CREA_2023H2-China-steel-analysis.pdf

LCI derived from https://doi.org/10.1016/j.susmat.2022.e00564 ","steel, global average BOF/EAF",557c928bb1d243bab9895bc1e1ae9ef2_copy1,"steel, global average BOF/EAF",557c928bb1d243bab9895bc1e1ae9ef2_copy1,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
recycling (theoretical) EoL PV module with credits,9edbfcafb5a048a1b4b649e2686115c7,GLO,"Inventory from NREL report ""An Updated Life Cycle Assessment of Utility-Scale Solar Photovoltaic Systems Installed in the United States""

100% recycling aluminum, 30% recycling rate copper, 86% recovery of glass",recycling (theoretical) EoL PV module with credits,9edbfcafb5a048a1b4b649e2686115c7,recycling (theoretical) EoL PV module with credits,9edbfcafb5a048a1b4b649e2686115c7,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV-CdTe,b5f9da52f03d4028b535bb59e61e8fec_copy4,GLO,Inventory from PV-ICE for module/frame and REMPD for racking,PV-CdTe,b5f9da52f03d4028b535bb59e61e8fec_copy4,PV-CdTe,b5f9da52f03d4028b535bb59e61e8fec_copy4,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Nickel sulfate,f85c0fc2383347e3b7c61b7d574d348a,GLO,"LCI from report ""Comparative life cycle assessment of
prospective battery-grade material
production in Norway""",Nickel sulfate,f85c0fc2383347e3b7c61b7d574d348a,Nickel sulfate,f85c0fc2383347e3b7c61b7d574d348a,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Wind, offshore",aeee3498803b4c5d8b9646fe53e0bdf2_copy1,GLO,inventory data from REMPD,"Wind, offshore",aeee3498803b4c5d8b9646fe53e0bdf2_copy1,"Wind, offshore",aeee3498803b4c5d8b9646fe53e0bdf2_copy1,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Wind, onshore",aeee3498803b4c5d8b9646fe53e0bdf2,GLO,,"Wind, onshore",aeee3498803b4c5d8b9646fe53e0bdf2,"Wind, onshore",aeee3498803b4c5d8b9646fe53e0bdf2,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
recycling wind turbine optimistic,f841236732834fce89c11820f5545ff9,GLO,"opptomistic EOL assumes that blades are thermally recycled using pyrolysis recovering 58% of carbon/glass fiber

In addition, 90% of steel assumed to be recycled. 

remaining plastics and concrete assumed to be landfilled",recycling wind turbine optimistic ,f841236732834fce89c11820f5545ff9,recycling wind turbine optimistic ,f841236732834fce89c11820f5545ff9,1.0,unit,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"aluminum, average US",cc4018cea8ae4c2cb77e478d9b81d2c1,GLO,"Aluminum production assuming that 78% is derived from scrap aluminum, while the remainder is primary aluminum 
the ""1998"" version of secondary aluminum is used because the water consumption is weird for the more recent one","aluminum, average US",cc4018cea8ae4c2cb77e478d9b81d2c1,"aluminum, average US",cc4018cea8ae4c2cb77e478d9b81d2c1,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV-Si_V2 REMPD,b5f9da52f03d4028b535bb59e61e8fec,GLO,,PV-Si_V2 REMPD,b5f9da52f03d4028b535bb59e61e8fec,PV-Si_V2 REMPD,b5f9da52f03d4028b535bb59e61e8fec,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Aluminum, primary",73bf2ac6df4145c9bde4db61796c8bab,GLO,"LCI for mining 1 kg of primary aluminum (global average) from Lian et al 2025 (https://doi.org/10.3390/pr13020419)

and some biosphere flows from https://www.sciencedirect.com/science/article/pii/S0048969719304474#t0015","Aluminum, primary",73bf2ac6df4145c9bde4db61796c8bab,"Aluminum, primary",73bf2ac6df4145c9bde4db61796c8bab,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV-Si_V2 REMPD base case EOL,b5f9da52f03d4028b535bb59e61e8fec_copy8,GLO,"Base case EoL assumes landfilling the module and recycling racking material and glass (90% steel, 79% aluminum, 76% copper) , as specified in the NREL report.",PV-Si_V2 REMPD base case EOL,b5f9da52f03d4028b535bb59e61e8fec_copy8,PV-Si_V2 REMPD base case EOL,b5f9da52f03d4028b535bb59e61e8fec_copy8,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
H2 PEMWE stack,164b653cb73c475d97e626f01cb74ab3,GLO,inventory for producing 1 MW of hydrogen power,H2 PEMWE stack,164b653cb73c475d97e626f01cb74ab3,H2 PEMWE stack,164b653cb73c475d97e626f01cb74ab3,1.0,mw,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Cobalt sulfate, battery grade ECON ALLOC",55685bcc48964cc2b130cd1eaf829405_copy1,GLO,"This inventory reflects production of battery grade cobalt (CoSO4), using economic allocation approach. based on GREET model

https://greet.anl.gov/files/update_cobalt","Cobalt sulfate, battery grade ECON ALLOC",55685bcc48964cc2b130cd1eaf829405_copy1,"Cobalt sulfate, battery grade ECON ALLOC",55685bcc48964cc2b130cd1eaf829405_copy1,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
titanium,27e0cb9d4931414ea3cafe30af20d2e1,GLO,"This inventory includes teh material and energy inputs for Ti sponge metal production reported in ANLs ""life cycle inventories of critical materails: Nickel, Copper, Titanium and Rare-Earth metals"". It is assumed that MgCl is recycled and re-used in a closed loop system",titanium,27e0cb9d4931414ea3cafe30af20d2e1,titanium,27e0cb9d4931414ea3cafe30af20d2e1,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
testing energy impact category,86fcbb9b2d9c42deaa193afe99694e46,GLO,,testing energy impact category,86fcbb9b2d9c42deaa193afe99694e46,testing energy impact category,86fcbb9b2d9c42deaa193afe99694e46,1.0,unit,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Ni/Co/Cu ore,ed01bf44139f4cb9a154ef8d8a3b20a4,GLO,"LCI from report ""Comparative life cycle assessment of
prospective battery-grade material
production in Norway""",Ni/Co/Cu ore,ed01bf44139f4cb9a154ef8d8a3b20a4,Ni/Co/Cu ore,ed01bf44139f4cb9a154ef8d8a3b20a4,36.4,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"treatment of hazardous waste, incineration",806821964da4484c836213a1ab077f22,GLO,"inventory obtained from: https://link.springer.com/article/10.1007/s11367-016-1228-0 

representative of industrial hazardous waste treatment in China. Without energy recovery.","treatment of hazardous waste, incineration",806821964da4484c836213a1ab077f22,"treatment of hazardous waste, incineration",806821964da4484c836213a1ab077f22,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
US 2050 decarbonized electricity grid,8bee97ef416246918a4ff79714240ac9,Northern America,"assuming the grid is made up of: 34% PV, 45% onshore wind, 3% offshore wind, 9.5% nuclear, 3.8% hydro, 4% natural gas
",US 2050 decarbonized electricity grid,8bee97ef416246918a4ff79714240ac9,US 2050 decarbonized electricity grid,8bee97ef416246918a4ff79714240ac9,1.0,kwh,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Cobalt sulfate, battery grade MASS ALLOC",55685bcc48964cc2b130cd1eaf829405,GLO,"This inventory reflects production of battery grade cobalt (CoSO4), using a mass allocation approach. based on GREET model

https://greet.anl.gov/files/update_cobalt","Cobalt sulfate, battery grade MASS ALLOC",55685bcc48964cc2b130cd1eaf829405,"Cobalt sulfate, battery grade MASS ALLOC",55685bcc48964cc2b130cd1eaf829405,1.0,unit,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
testing biosphere,b5f9da52f03d4028b535bb59e61e8fec_copy1,GLO,,testing biosphere,b5f9da52f03d4028b535bb59e61e8fec_copy1,testing biosphere,b5f9da52f03d4028b535bb59e61e8fec_copy1,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Pyro LFP battery recycling,753a99039a014a8ebb9c27afac5495d1_copy1,GLO,LCI from  https://onlinelibrary.wiley.com/doi/full/10.1111/jiec.13021,Pyro LFP battery recycling,753a99039a014a8ebb9c27afac5495d1_copy1,Pyro LFP battery recycling,753a99039a014a8ebb9c27afac5495d1_copy1,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
spherical graphite,c9ef3c8776a240f4a14ae1fe1db92fca,GLO,life cycle inventory from https://www.sciencedirect.com/science/article/pii/S0959652622001172,spherical graphite,c9ef3c8776a240f4a14ae1fe1db92fca,spherical graphite,c9ef3c8776a240f4a14ae1fe1db92fca,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"aluminum, China average",cc4018cea8ae4c2cb77e478d9b81d2c1_copy1,GLO,"Aluminum production assuming that 20% is derived from scrap aluminum, while the remainder is primary aluminum https://iopscience.iop.org/article/10.1088/1757-899X/397/1/012107/pdf","aluminum, china average",cc4018cea8ae4c2cb77e478d9b81d2c1_copy1,"aluminum, china average",cc4018cea8ae4c2cb77e478d9b81d2c1_copy1,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Epoxy resin,0cb57182f37840f2a16a589c8386a35a,GLO,"Average inventory for epoxy resin based on literature

https://www.sciencedirect.com/science/article/pii/S0048969724078021",Epoxy resin,0cb57182f37840f2a16a589c8386a35a,Epoxy resin,0cb57182f37840f2a16a589c8386a35a,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Carbon fiber,5e91ad4c8795483191d33de7d3228511,GLO,"Average of inventories from literature

https://doi.org/10.3390/polym16010012
https://link.springer.com/article/10.1007/s11367-011-0264-z
https://doi.org/10.1016/j.trd.2017.10.017",Carbon fiber,5e91ad4c8795483191d33de7d3228511,Carbon fiber,5e91ad4c8795483191d33de7d3228511,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Manganese sulfate,f57a9dd9d43a4edd8090ae6796855bd8,GLO,"LCI from report ""Comparative life cycle assessment of
prospective battery-grade material
production in Norway""",Manganese sulfate,f57a9dd9d43a4edd8090ae6796855bd8,Manganese sulfate,f57a9dd9d43a4edd8090ae6796855bd8,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
lithium carbonate,ac90960d53f34ebeb7cdf233576abb4a,GLO,"LCI derived from literature https://doi.org/10.1016/j.resconrec.2022.106634

https://www.sciencedirect.com/science/article/pii/S0921344922004670?via%3Dihub",lithium carbonate,ac90960d53f34ebeb7cdf233576abb4a,lithium carbonate,ac90960d53f34ebeb7cdf233576abb4a,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
glass fiber reinforced plastic,85604417e5c64cfc896a271d0df46442,GLO,"Inventory based on Argonne labs GREET publication. Which only provides breakdown of carbon diber, and epoxy inputs.

https://greet.anl.gov/files/greet2-lca-update",glass fiber reinforced plastic,85604417e5c64cfc896a271d0df46442,glass fiber reinforced plastic,85604417e5c64cfc896a271d0df46442,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Silicon, solar grade",6178c8732acf4153a85518f198025527_copy1,GLO,"This inventory is based on the life cycle inventory reported in the NREL report ""An updated life cycle assessment of utility-scale solar photovoltaic systems ..""
Using China electricity grid, assuming that is where silicon is produced.
","Silicon, solar grade",6178c8732acf4153a85518f198025527_copy1,"Silicon, solar grade",6178c8732acf4153a85518f198025527_copy1,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV_kwh,fac6f07298cb413eae8b34ee41d999e8,GLO,"using inventory for silicon solar PV from REMPD, including EoL but without credits for recycling'

MW to kwh conversion determined assuming : 25 lifespan, 20% capacitity factor --> total lifecycle kwh = 43800000
",PV_kwh,fac6f07298cb413eae8b34ee41d999e8,PV_kwh,fac6f07298cb413eae8b34ee41d999e8,1.0,kwh,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Nitric acid,4e89b1547e05486aa61bbf8744326953,GLO,"Inventory for nitric acid derived from Franklin Associates report. LCI is generic and is therefore the same for nitric acid/nitrobenzene/aniline

report ""CRADLE-TO-GATE LIFE CYCLE ANALYSIS OF METHYLENE
DIPHENYL DIISOCYANATE (MDI)""
",Nitric acid,4e89b1547e05486aa61bbf8744326953,Nitric acid,4e89b1547e05486aa61bbf8744326953,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV-CdTe_REMPD,b5f9da52f03d4028b535bb59e61e8fec_copy7,GLO,Inventory from PV-ICE for module/frame and REMPD for racking,PV-CdTe_REMPD,b5f9da52f03d4028b535bb59e61e8fec_copy7,PV-CdTe_REMPD,b5f9da52f03d4028b535bb59e61e8fec_copy7,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
GLOBAl 2050 decarbonized electricity grid,8bee97ef416246918a4ff79714240ac9_copy1,GLO,"assuming the grid is made up of: 43% PV, 25% onshore wind, 9% batteries, 2% nuclear, 8% hydro, 1% natural gas, 2% bioenergy, 6% hydrogen
",global 2050 decarbonized electricity grid,8bee97ef416246918a4ff79714240ac9_copy1,global 2050 decarbonized electricity grid,8bee97ef416246918a4ff79714240ac9_copy1,1.0,kwh,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV-Si,b5f9da52f03d4028b535bb59e61e8fec_copy3,GLO,,PV-Si,b5f9da52f03d4028b535bb59e61e8fec_copy3,PV-Si,b5f9da52f03d4028b535bb59e61e8fec_copy3,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
alumina,13466027b6954134bed4fa284e97afcf,GLO,LCI for mining 1 kg of alumina (global average) from Lian et al 2025 (https://doi.org/10.3390/pr13020419),alumina,13466027b6954134bed4fa284e97afcf,alumina,13466027b6954134bed4fa284e97afcf,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
recycled glass/carbon fiber,8bb5fd48c0a84e2f82e28d72c956b672,GLO,"Inventory based on recycled carbon fiber derived from ""Acetolysis of epoxy amine resins for carbon fiber-reinforced polymer recycling"", under review, Lahive et al (Jason provided the LCI)

It is assumed that the process is similar for glass fiber.
the recovered resin is assumed to replace epoxy.

To produce 1 kg of recycled glass or carbon fiber, an input of 1.4 kg of post-consumer waste needs to be treated.",recycled glass/carbon fiber,8bb5fd48c0a84e2f82e28d72c956b672,recycled glass/carbon fiber,8bb5fd48c0a84e2f82e28d72c956b672,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Refined cobalt metal_ECON alloc,0ebd9ae0b6d5401f83b1087637d8ebee,GLO,"Inventory for refined cobalt metal based on GREET report

https://greet.anl.gov/files/update_cobalt ",Refined cobalt metal_econ alloc,0ebd9ae0b6d5401f83b1087637d8ebee,Refined cobalt metal_econ alloc,0ebd9ae0b6d5401f83b1087637d8ebee,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"heat, from natural gas",27739daddcbc419c9332a632af99a5f3,GLO,"inventory for 1 MJ of heat production from natural gas

inventory derived from OSTI: https://www.osti.gov/servlets/purl/1509401","heat, from natural gas",27739daddcbc419c9332a632af99a5f3,"heat, from natural gas",27739daddcbc419c9332a632af99a5f3,1.0,MJ,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Silver, economic allocation",e0414e82ae0642448cb69c98163a1e40,GLO,"life cycle inventory for silver derived from : https://doi.org/10.1016/j.jclepro.2019.04.166 

economic allocaiton (or revenue based allocation), applied to gold-silver coproduction process.","Silver, economic allocation",e0414e82ae0642448cb69c98163a1e40,"Silver, economic allocation",e0414e82ae0642448cb69c98163a1e40,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"silicon, metallurgical grade",811e9dc84b9c4a0db7d0ae790fc19de9,GLO,"This inventory is based on the life cycle inventory reported in teh NREL report ""An updated life cycle assessment of utility-scale solar photovoltaic systems ..""


water consumption derived from silicon LCA results reported in https://www.sciencedirect.com/science/article/pii/S0048969721030400","silicon, metallurgical grade",811e9dc84b9c4a0db7d0ae790fc19de9,"silicon, metallurgical grade",811e9dc84b9c4a0db7d0ae790fc19de9,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Pyro NMC battery recycling,753a99039a014a8ebb9c27afac5495d1,GLO,LCI from  https://onlinelibrary.wiley.com/doi/full/10.1111/jiec.13021,Pyro NMC battery recycling,753a99039a014a8ebb9c27afac5495d1,Pyro NMC battery recycling,753a99039a014a8ebb9c27afac5495d1,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
LFP battery_V2 base case EoL,2a0d5a60272b4371a22bb858c8d24e1b_copy2,GLO,"Inventory from everbatt

base case EoL assumes landfilling",LFP battery_V2 base case EOL,2a0d5a60272b4371a22bb858c8d24e1b_copy2,LFP battery_V2 base case EOL,2a0d5a60272b4371a22bb858c8d24e1b_copy2,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Hydro LFP battery recycling,6eed6a527745435386d0704fad86f8f8_copy1,GLO,LCI from https://onlinelibrary.wiley.com/doi/full/10.1111/jiec.13021,Hydro LFP battery recycling,6eed6a527745435386d0704fad86f8f8_copy1,Hydro LFP battery recycling,6eed6a527745435386d0704fad86f8f8_copy1,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
battery separator,b4edf9e07b73448a96e9916276058b6e,GLO,"polyethylene battery separator for LIB, manufactured using wet process. (based on China production). Inventory from https://www.sciencedirect.com/science/article/pii/S0959652619312661#appsec1",battery separator,b4edf9e07b73448a96e9916276058b6e,battery separator,b4edf9e07b73448a96e9916276058b6e,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
ore concentrate (Ni/Co/Cu),692b9083f2c946b58fb49b33b485c057,GLO,"LCI from report ""Comparative life cycle assessment of
prospective battery-grade material
production in Norway""",ore concentrate (Ni/Co/Cu),692b9083f2c946b58fb49b33b485c057,ore concentrate (Ni/Co/Cu),692b9083f2c946b58fb49b33b485c057,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Wind, onshore with baseline EoL no credits",aeee3498803b4c5d8b9646fe53e0bdf2_copy3,GLO,"Baseline EOL assumes that blades and concrete are landfilled

In addition, 50% of metals are assumed to be recycled (assuming corrosion effects rate of recycling)
","Wind, onshore with baseline EoL no credits",aeee3498803b4c5d8b9646fe53e0bdf2_copy3,"Wind, onshore with baseline EoL no credits",aeee3498803b4c5d8b9646fe53e0bdf2_copy3,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
"Electricity, at Grid, US, 2023",89389d98-1ba6-30c5-9c33-92443694936b_copy2,Northern America,"Based on electricity grid make-up for the US in 2023, as reported by the US EIA  https://www.eia.gov/tools/faqs/faq.php?id=427&t=3

since US LCI does not have inventories for wind, solar, etc., it is assumed that renewables have close to zero impact. ","Electricity, at grid 2023",89389d98-1ba6-30c5-9c33-92443694936b_copy2,"Electricity, at grid 2023",89389d98-1ba6-30c5-9c33-92443694936b_copy2,3.6,megajoule,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV-CdTe_REMPD base case EoL,b5f9da52f03d4028b535bb59e61e8fec_copy2,GLO,Inventory from PV-ICE for module/frame and REMPD for racking,PV-CdTe_REMPD base case EoL,b5f9da52f03d4028b535bb59e61e8fec_copy2,PV-CdTe_REMPD base case EoL,b5f9da52f03d4028b535bb59e61e8fec_copy2,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
PV-Si_V2 REMPD base case EOL no credits,b5f9da52f03d4028b535bb59e61e8fec_copy10,GLO,"Base case EoL assumes landfilling the module and recycling racking material and glass (90% steel, 79% aluminum, 76% copper) , as specified in the NREL report.

cut-off approach, so no credits applied for recycling",PV-Si_V2 REMPD base case EOL no credits,b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,b5f9da52f03d4028b535bb59e61e8fec_copy10,1.0,MW,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
chromium,5b6adeb1f1284b1e892a5875b7c9e186,GLO,Inventory for chromium just containing energy demands as reported by USGS https://pubs.usgs.gov/usbmic/ic-9411/ic-9411.pdf,chromium,5b6adeb1f1284b1e892a5875b7c9e186,chromium,5b6adeb1f1284b1e892a5875b7c9e186,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
graphite ore,f934ea7caf914cbeb64bacbdc767763b,GLO,life cycle inventory from: https://www.sciencedirect.com/science/article/pii/S0959652622001172,graphite ore,f934ea7caf914cbeb64bacbdc767763b,graphite ore,f934ea7caf914cbeb64bacbdc767763b,1.0,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
Ferric phosphate,c3630d3350854ca29aebddf37e91f1da,GLO,"LCI for 2.41 kg of ferric phosphate production. Made by the reaction of ferrous sulphate with phosphoric acid. Inventory from literature . Note that phosphoric acid is replaced with phosphorous, fertilizer. 
https://www.sciencedirect.com/science/article/pii/S0959652623004213",Ferric phosphate,c3630d3350854ca29aebddf37e91f1da,Ferric phosphate,c3630d3350854ca29aebddf37e91f1da,2.41,kg,PRODUCT_FLOW,,,False,production,,,,PRODUCT_FLOW
