consumer_process_id,consumer_process_name,supplier_process_id,supplier_process_name,supplier_location,input_flow_name,input_flow_unit,note
0ebd9ae0b6d5401f83b1087637d8ebee,Refined cobalt metal_ECON alloc,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
ed01bf44139f4cb9a154ef8d8a3b20a4,Ni/Co/Cu ore,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",49f5324b-fc33-36e9-b5af-3c80d73492bd.3f2fed05-f530-32e9-b0f9-0dcb5280aa9d,"Steel, stainless 304, flat rolled coil",Northern America,"Steel, stainless 304, flat rolled coil",kilogram,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",c3b2244dbba5469d839dca55eb479986,Copper,GLO,Copper,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",b0e83834598d43e6ac64ea0802f1c0a0,Nickel from sulfide ores,GLO,Nickel from sulfide ores,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",2b2f738d-2044-462f-ba56-5112ee683cb6.e7bbbd06-5887-45b0-a3c2-c9d06d571351,"Polyethylene terephthalate, PET, virgin resin, at plant, kg",Northern America,"Polyethylene terephthalate, PET, virgin resin, at plant, kg",kilogram,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",5e91ad4c8795483191d33de7d3228511,Carbon fiber,GLO,Carbon fiber,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",a7855d4c3576430ead06c5ff802533e2,Manganese ,GLO,Manganese ,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",0cb57182f37840f2a16a589c8386a35a,Epoxy resin,GLO,Epoxy resin,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",85604417e5c64cfc896a271d0df46442,glass fiber reinforced plastic,GLO,glass fiber reinforced plastic,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",0ebd9ae0b6d5401f83b1087637d8ebee,Refined cobalt metal_ECON alloc,GLO,Refined cobalt metal_econ alloc,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",5b6adeb1f1284b1e892a5875b7c9e186,chromium,GLO,chromium,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",cc4018cea8ae4c2cb77e478d9b81d2c1,"aluminum, average US",GLO,"aluminum, average US",kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",557c928bb1d243bab9895bc1e1ae9ef2,"steel, 30/70 BOF/EAF",GLO,"steel, 30/70 BOF/EAF",kg,Supplier process_id not found in new USLCI extract
